subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,conv_decoder,2,relative_acc,v,1.212161898612976,,,
multi-partial,shared_planets,conv_decoder,2,relative_acc,asr,1.0008703470230103,,,
multi-partial,shared_planets,conv_decoder,2,relative_acc,olr,1.1232712268829346,,,
multi-partial,standard,conv_decoder,3,rmse,surface_temperature,12.191908836364746,,,
multi-partial,standard,conv_decoder,3,rmse,temperature,10.084229469299316,,,
multi-partial,standard,conv_decoder,3,rmse,specific_humidity_dex,0.5313119709491729,,,
multi-partial,standard,conv_decoder,3,rmse,cloud_fraction,0.08067904189229011,,,
multi-partial,standard,conv_decoder,3,rmse,u,9.877746295928954,,,
multi-partial,standard,conv_decoder,3,rmse,v,4.119728541374206,,,
multi-partial,standard,conv_decoder,3,rmse,asr,37.94674301147461,,,
multi-partial,standard,conv_decoder,3,rmse,olr,17.49030876159668,,,
multi-partial,standard,conv_decoder,3,acc,surface_temperature,0.9232777953147888,,,
multi-partial,standard,conv_decoder,3,acc,temperature,0.4875515401363373,,,
multi-partial,standard,conv_decoder,3,acc,specific_humidity_dex,0.6847782894968987,,,
multi-partial,standard,conv_decoder,3,acc,cloud_fraction,0.691636198759079,,,
multi-partial,standard,conv_decoder,3,acc,u,0.6889346897602081,,,
multi-partial,standard,conv_decoder,3,acc,v,0.6944481432437897,,,
multi-partial,standard,conv_decoder,3,acc,asr,0.9936028718948364,,,
multi-partial,standard,conv_decoder,3,acc,olr,0.8784992694854736,,,
multi-partial,standard,conv_decoder,3,ramse,surface_temperature,12.847375869750977,,,
multi-partial,standard,conv_decoder,3,ramse,temperature,11.224088001251221,,,
multi-partial,standard,conv_decoder,3,ramse,specific_humidity_dex,0.584212738275528,,,
multi-partial,standard,conv_decoder,3,ramse,cloud_fraction,0.09322362057864667,,,
multi-partial,standard,conv_decoder,3,ramse,u,11.828857851028442,,,
multi-partial,standard,conv_decoder,3,ramse,v,4.9049174070358275,,,
multi-partial,standard,conv_decoder,3,ramse,asr,40.119483947753906,,,
multi-partial,standard,conv_decoder,3,ramse,olr,18.831697463989258,,,
multi-partial,shared_planets,conv_decoder,3,relative_rmse,surface_temperature,0.9594632983207703,,,
multi-partial,shared_planets,conv_decoder,3,relative_rmse,temperature,0.9216495752334595,,,
multi-partial,shared_planets,conv_decoder,3,relative_rmse,specific_humidity_dex,0.8673843741416931,,,
multi-partial,shared_planets,conv_decoder,3,relative_rmse,cloud_fraction,0.5839197635650635,,,
multi-partial,shared_planets,conv_decoder,3,relative_rmse,u,0.7563244104385376,,,
multi-partial,shared_planets,conv_decoder,3,relative_rmse,v,0.7153326272964478,,,
multi-partial,shared_planets,conv_decoder,3,relative_rmse,asr,1.0813825130462646,,,
multi-partial,shared_planets,conv_decoder,3,relative_rmse,olr,0.7305835485458374,,,
