subset,protocol,method,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,standard,coord_deeponet,ramse,specific_humidity_dex,0.560432830452919,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,ramse,cloud_fraction,0.10765398591756821,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,ramse,u,13.38787908554077,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,ramse,v,6.126101446151734,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,ramse,asr,32.128475189208984,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,ramse,olr,20.944971084594727,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,relative_rmse,surface_temperature,1.0960519313812256,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,relative_rmse,temperature,0.9624262452125549,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,relative_rmse,specific_humidity_dex,0.873616099357605,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,relative_rmse,cloud_fraction,0.6559427380561829,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
